"symptomes","maladie"
"nez qui coule, fatigue légère, toux légère","Rhume"
"difficulté à avaler, gorge très douloureuse, ganglions enflés, fièvre élevée, fièvre","Angine"
"toux, maux de tête, toux sèche, fièvre, maux de gorge","Grippe"
"amygdales gonflées, ganglions enflés, gorge rouge","Angine"
"fièvre, difficulté à avaler, fièvre élevée","Angine"
"perte d’odorat, fièvre, fatigue, perte du goût","Covid-19"
"maux de tête, douleurs musculaires, perte du goût","Covid-19"
"fièvre, douleur à la déglutition, gorge rouge","Angine"
"fatigue légère, gorge irritée, nez qui coule, éternuements","Rhume"
"nez bouché, maux de tête, fièvre, maux de gorge, toux sèche","Grippe"
"nez bouché, courbatures, frissons, fièvre","Grippe"
"nez qui coule, maux de tête, éternuements, gorge irritée","Rhume"
"fièvre, gorge rouge, gorge très douloureuse, fièvre élevée","Angine"
"nausée, fatigue, frissons, nausées","Paludisme"
"difficultés respiratoires, perte d’odorat, toux sèche, douleurs musculaires","Covid-19"
"maux de gorge, nez qui coule, toux légère","Rhume"
"douleurs abdominales, nausées, douleurs musculaires, fatigue, nausée","Paludisme"
"maux d’estomac, maux de ventre, perte d’appétit","Gastro-entérite"
"fièvre modérée, maux de tête, difficultés respiratoires, fièvre","Covid-19"
"perte d’odorat, maux de tête, perte du goût","Covid-19"
"toux légère, nez bouché, nez qui coule","Rhume"
"perte d’odorat, fièvre, maux de tête, fatigue","Covid-19"
"vomissements, fièvre légère, fatigue, crampes abdominales, maux d’estomac","Gastro-entérite"
"nausée, maux de ventre, perte d’appétit, crampes abdominales, vomissements","Gastro-entérite"
"maux de tête, toux, maux de gorge, toux sèche","Grippe"
"maux de gorge, maux de tête, gorge irritée, nez bouché","Rhume"
"toux légère, fatigue légère, nez bouché","Rhume"
"fatigue, courbatures, frissons","Grippe"
"maux de ventre, fatigue, diarrhée, nausée, perte d’appétit","Gastro-entérite"
"toux sèche, fatigue, difficultés respiratoires, maux de tête","Covid-19"
"vomissements, nausée, fièvre légère, fatigue","Gastro-entérite"
"maux de gorge, courbatures, maux de tête","Grippe"
"fièvre, fièvre élevée, gorge rouge","Angine"
"nez bouché, maux de tête, nez qui coule, courbatures, toux sèche","Grippe"
"douleurs abdominales, maux de tête, fatigue","Paludisme"
"fièvre, difficultés respiratoires, fièvre modérée","Covid-19"
"douleurs musculaires, transpiration abondante, fièvre élevée, douleurs abdominales, frissons","Paludisme"
"fièvre légère, crampes abdominales, maux de ventre, vomissements, perte d’appétit","Gastro-entérite"
"nausée, frissons, nausées, transpiration abondante, douleurs abdominales","Paludisme"
"toux, nez qui coule, fatigue, maux de tête","Grippe"
"perte d’odorat, fièvre modérée, perte du goût, fièvre","Covid-19"
"courbatures, nez qui coule, maux de tête, fièvre","Grippe"
"fatigue, maux de ventre, perte d’appétit, nausée, crampes abdominales","Gastro-entérite"
"gorge irritée, toux légère, fatigue légère, nez qui coule, nez bouché","Rhume"
"gorge très douloureuse, amygdales gonflées, ganglions enflés","Angine"
"nez qui coule, éternuements, nez bouché","Rhume"
"amygdales gonflées, difficulté à avaler, douleur à la déglutition, gorge très douloureuse","Angine"
"maux de tête, nez qui coule, courbatures","Grippe"
"maux de gorge, gorge irritée, maux de tête, nez bouché","Rhume"
"nez qui coule, fièvre, fatigue","Grippe"
"ganglions enflés, douleur à la déglutition, fièvre élevée","Angine"
"nausée, fatigue, transpiration abondante, douleurs musculaires","Paludisme"
"nez qui coule, toux, courbatures, frissons, maux de tête","Grippe"
"perte du goût, fièvre, fièvre modérée, douleurs musculaires","Covid-19"
"vomissements, crampes abdominales, maux de ventre, perte d’appétit","Gastro-entérite"
"fatigue, nausées, nausée, douleurs musculaires, fièvre élevée","Paludisme"
"nez qui coule, toux légère, maux de tête, maux de gorge","Rhume"
"fatigue, fièvre, maux de tête, douleurs musculaires, perte d’odorat","Covid-19"
"maux de gorge, maux de tête, gorge irritée, toux légère, éternuements","Rhume"
"fatigue, maux de tête, toux, nez qui coule","Grippe"
"fatigue, maux de gorge, frissons, maux de tête, toux sèche","Grippe"
"nausée, nausées, fatigue, transpiration abondante, maux de tête","Paludisme"
"nausées, douleurs abdominales, douleurs musculaires, frissons","Paludisme"
"éternuements, nez qui coule, nez bouché, maux de tête, fatigue légère","Rhume"
"fatigue, nausées, douleurs musculaires","Paludisme"
"nausées, frissons, nausée","Paludisme"
"maux de gorge, maux de tête, éternuements","Rhume"
"diarrhée, fièvre légère, nausée, perte d’appétit, vomissements","Gastro-entérite"
"diarrhée, fatigue, perte d’appétit, nausée, maux d’estomac","Gastro-entérite"
"toux légère, nez bouché, gorge irritée","Rhume"
"nausées, douleurs musculaires, nausée","Paludisme"
"fatigue, fièvre modérée, perte d’odorat, douleurs musculaires, perte du goût","Covid-19"
"gorge irritée, nez qui coule, nez bouché","Rhume"
"fièvre élevée, douleurs musculaires, maux de tête, nausées, fatigue","Paludisme"
"maux de gorge, nez qui coule, éternuements, fatigue légère, maux de tête","Rhume"
"crampes abdominales, fatigue, maux d’estomac, nausée","Gastro-entérite"
"maux d’estomac, perte d’appétit, nausée, maux de ventre","Gastro-entérite"
"fièvre élevée, fièvre, ganglions enflés, douleur à la déglutition, difficulté à avaler","Angine"
"fièvre légère, vomissements, nausée","Gastro-entérite"
"ganglions enflés, douleur à la déglutition, difficulté à avaler","Angine"
"crampes abdominales, nausée, maux de ventre, perte d’appétit, diarrhée","Gastro-entérite"
"perte d’appétit, vomissements, diarrhée, nausée, fatigue","Gastro-entérite"
"frissons, fièvre, maux de tête, maux de gorge","Grippe"
"toux légère, maux de gorge, éternuements","Rhume"
"douleur à la déglutition, ganglions enflés, gorge très douloureuse","Angine"
"fièvre, frissons, toux sèche","Grippe"
"fatigue, toux, toux sèche, fièvre","Grippe"
"toux sèche, courbatures, nez bouché","Grippe"
"gorge très douloureuse, difficulté à avaler, amygdales gonflées, fièvre élevée, douleur à la déglutition","Angine"
"toux légère, maux de gorge, nez bouché, éternuements, gorge irritée","Rhume"
"frissons, toux, courbatures","Grippe"
"nez bouché, nez qui coule, toux légère, maux de tête, maux de gorge","Rhume"
"maux d’estomac, vomissements, fatigue, perte d’appétit, nausée","Gastro-entérite"
"nausée, frissons, maux de tête, nausées, douleurs musculaires","Paludisme"
"fatigue légère, nez bouché, nez qui coule","Rhume"
"fatigue légère, éternuements, maux de gorge","Rhume"
"gorge irritée, nez qui coule, nez bouché, maux de gorge","Rhume"
"douleurs abdominales, transpiration abondante, nausée","Paludisme"
"gorge irritée, nez qui coule, maux de tête, fatigue légère, éternuements","Rhume"
"nausée, douleurs abdominales, fièvre élevée, fatigue","Paludisme"
"gorge très douloureuse, fièvre élevée, douleur à la déglutition","Angine"
"toux sèche, fièvre modérée, difficultés respiratoires","Covid-19"
"douleurs musculaires, fièvre modérée, difficultés respiratoires, toux sèche","Covid-19"
"fatigue, fièvre élevée, douleurs musculaires","Paludisme"
"maux de tête, nez qui coule, toux sèche, courbatures, toux","Grippe"
"nez bouché, maux de gorge, toux légère, maux de tête","Rhume"
"courbatures, toux, maux de tête, toux sèche","Grippe"
"difficulté à avaler, fièvre élevée, douleur à la déglutition, fièvre, gorge rouge","Angine"
"douleurs musculaires, frissons, transpiration abondante, fatigue, nausée","Paludisme"
"fatigue, nausée, vomissements","Gastro-entérite"
"toux sèche, maux de tête, toux, maux de gorge, fatigue","Grippe"
"douleurs abdominales, fièvre élevée, nausée, transpiration abondante, fatigue","Paludisme"
"maux de tête, nez bouché, éternuements","Rhume"
"nez bouché, nez qui coule, toux sèche, frissons","Grippe"
"fièvre, maux de tête, toux sèche, nez bouché","Grippe"
"éternuements, fatigue légère, nez bouché","Rhume"
"fièvre, perte d’odorat, difficultés respiratoires, perte du goût","Covid-19"
"ganglions enflés, fièvre, douleur à la déglutition, gorge très douloureuse, fièvre élevée","Angine"
"crampes abdominales, fièvre légère, maux de ventre","Gastro-entérite"
"nausée, nausées, douleurs musculaires, transpiration abondante, fièvre élevée","Paludisme"
"éternuements, maux de tête, fatigue légère","Rhume"
"diarrhée, crampes abdominales, vomissements","Gastro-entérite"
"fatigue légère, nez qui coule, éternuements","Rhume"
"nausée, transpiration abondante, nausées","Paludisme"
"maux de tête, fièvre, fatigue, difficultés respiratoires","Covid-19"
"fatigue, vomissements, fièvre légère, maux de ventre, nausée","Gastro-entérite"
"toux sèche, courbatures, maux de tête","Grippe"
"difficultés respiratoires, fatigue, perte d’odorat","Covid-19"
"douleurs musculaires, maux de tête, fièvre élevée, transpiration abondante, nausée","Paludisme"
"diarrhée, fièvre légère, perte d’appétit","Gastro-entérite"
"frissons, nausées, douleurs abdominales, fièvre élevée, douleurs musculaires","Paludisme"
"fatigue, douleurs abdominales, frissons","Paludisme"
"fièvre, douleurs musculaires, perte du goût, toux sèche","Covid-19"
"nausée, frissons, fièvre élevée, douleurs abdominales","Paludisme"
"frissons, transpiration abondante, maux de tête, douleurs musculaires","Paludisme"
"fatigue légère, maux de gorge, nez qui coule","Rhume"
"nausée, perte d’appétit, fatigue","Gastro-entérite"
"frissons, fièvre élevée, maux de tête","Paludisme"
"fièvre, ganglions enflés, gorge rouge, amygdales gonflées","Angine"
"maux de tête, toux légère, nez bouché","Rhume"
"maux d’estomac, crampes abdominales, perte d’appétit, vomissements","Gastro-entérite"
"nez qui coule, gorge irritée, toux légère","Rhume"
"douleurs abdominales, frissons, transpiration abondante, fièvre élevée, nausées","Paludisme"
"toux sèche, maux de tête, fièvre, nez bouché","Grippe"
"toux légère, nez qui coule, nez bouché, éternuements","Rhume"
"crampes abdominales, vomissements, maux d’estomac","Gastro-entérite"
"douleurs abdominales, transpiration abondante, nausée","Paludisme"
"fièvre, difficulté à avaler, ganglions enflés","Angine"
"toux sèche, difficultés respiratoires, perte du goût, fièvre, maux de tête","Covid-19"
"maux de gorge, éternuements, toux légère","Rhume"
"courbatures, frissons, nez bouché, toux","Grippe"
"nausée, nausées, douleurs abdominales, fièvre élevée","Paludisme"
"nausée, maux de ventre, crampes abdominales","Gastro-entérite"
"nez qui coule, nez bouché, toux","Grippe"
"frissons, fièvre, nez bouché, toux","Grippe"
"fièvre élevée, fatigue, frissons, douleurs abdominales","Paludisme"
"douleurs abdominales, douleurs musculaires, fièvre élevée, transpiration abondante","Paludisme"
"courbatures, fièvre, fatigue","Grippe"
"douleurs musculaires, frissons, nausée, nausées","Paludisme"
"fièvre, fièvre élevée, difficulté à avaler","Angine"
"maux de gorge, toux légère, maux de tête","Rhume"
"difficultés respiratoires, perte du goût, fièvre","Covid-19"
"maux de tête, transpiration abondante, nausées, nausée, fièvre élevée","Paludisme"
"maux de tête, éternuements, gorge irritée, fatigue légère, nez bouché","Rhume"
"perte d’odorat, fièvre, maux de tête, difficultés respiratoires, fatigue","Covid-19"
"fatigue, nausée, fièvre légère, vomissements","Gastro-entérite"
"douleurs musculaires, frissons, transpiration abondante","Paludisme"
"fièvre, fièvre élevée, gorge très douloureuse","Angine"
"fièvre, toux sèche, fatigue","Grippe"
"fatigue, fièvre élevée, maux de tête","Paludisme"
"gorge rouge, amygdales gonflées, fièvre élevée, douleur à la déglutition","Angine"
"nausées, maux de tête, fièvre élevée, douleurs abdominales, transpiration abondante","Paludisme"
"fatigue, maux d’estomac, nausée, maux de ventre","Gastro-entérite"
"ganglions enflés, amygdales gonflées, gorge très douloureuse","Angine"
"douleur à la déglutition, fièvre, gorge rouge, fièvre élevée, amygdales gonflées","Angine"
"maux de gorge, toux légère, maux de tête, éternuements, gorge irritée","Rhume"
"fièvre modérée, perte d’odorat, fatigue, fièvre","Covid-19"
"courbatures, frissons, maux de tête, maux de gorge","Grippe"
"ganglions enflés, difficulté à avaler, amygdales gonflées, gorge rouge, gorge très douloureuse","Angine"
"diarrhée, maux de ventre, nausée, maux d’estomac","Gastro-entérite"
"nez bouché, fatigue légère, gorge irritée, nez qui coule","Rhume"
"fièvre élevée, maux de tête, frissons","Paludisme"
"vomissements, nausée, fatigue, crampes abdominales","Gastro-entérite"
"fatigue, frissons, maux de gorge, nez qui coule","Grippe"
"toux sèche, douleurs musculaires, fatigue, fièvre modérée, maux de tête","Covid-19"
"douleur à la déglutition, gorge rouge, fièvre élevée, fièvre","Angine"
"perte d’odorat, difficultés respiratoires, douleurs musculaires","Covid-19"
"fièvre, gorge rouge, fièvre élevée, ganglions enflés","Angine"
"fatigue légère, gorge irritée, nez bouché, nez qui coule, maux de gorge","Rhume"
"fatigue, vomissements, maux d’estomac, maux de ventre","Gastro-entérite"
"nausée, nausées, transpiration abondante","Paludisme"
"perte du goût, perte d’odorat, fatigue, fièvre, maux de tête","Covid-19"
"fatigue, maux d’estomac, perte d’appétit","Gastro-entérite"
"nausée, diarrhée, vomissements","Gastro-entérite"
"nausées, transpiration abondante, fièvre élevée, fatigue","Paludisme"
"fièvre, maux de tête, nez qui coule, toux sèche, toux","Grippe"
"gorge très douloureuse, gorge rouge, fièvre élevée, amygdales gonflées","Angine"
"maux de tête, douleurs musculaires, frissons, nausées, fièvre élevée","Paludisme"
"toux, courbatures, fatigue, toux sèche","Grippe"
"nez qui coule, fièvre, courbatures","Grippe"
"fatigue, frissons, transpiration abondante, nausées","Paludisme"
"douleurs musculaires, maux de tête, toux sèche, fatigue","Covid-19"
"nez qui coule, éternuements, nez bouché, toux légère, gorge irritée","Rhume"
"maux de tête, douleurs abdominales, douleurs musculaires","Paludisme"
"gorge très douloureuse, douleur à la déglutition, difficulté à avaler","Angine"
"maux de tête, frissons, nez bouché, fatigue","Grippe"
"nez bouché, maux de gorge, toux, nez qui coule","Grippe"
"fatigue légère, maux de tête, maux de gorge, nez bouché, gorge irritée","Rhume"
"toux, nez qui coule, fièvre, toux sèche, frissons","Grippe"
"nez bouché, courbatures, maux de tête","Grippe"
"maux de tête, frissons, fièvre élevée, nausées","Paludisme"
"fièvre légère, diarrhée, vomissements, maux d’estomac, maux de ventre","Gastro-entérite"
"fièvre, douleur à la déglutition, fièvre élevée, gorge rouge","Angine"
"ganglions enflés, fièvre élevée, gorge très douloureuse, amygdales gonflées, fièvre","Angine"
"ganglions enflés, difficulté à avaler, fièvre","Angine"
"nez bouché, nez qui coule, fatigue légère, toux légère, maux de tête","Rhume"
"difficultés respiratoires, fièvre, douleurs musculaires, toux sèche, maux de tête","Covid-19"
"nausées, fièvre élevée, fatigue, douleurs musculaires, transpiration abondante","Paludisme"
"fatigue, transpiration abondante, nausée, douleurs abdominales","Paludisme"
"gorge irritée, nez qui coule, toux légère, nez bouché","Rhume"
"fatigue, maux de tête, toux sèche","Covid-19"
"amygdales gonflées, difficulté à avaler, gorge très douloureuse, douleur à la déglutition","Angine"
"nez bouché, toux sèche, toux, fièvre, maux de tête","Grippe"
"nez bouché, toux, fièvre, nez qui coule","Grippe"
"amygdales gonflées, fièvre, ganglions enflés","Angine"
"maux de tête, fatigue légère, nez bouché","Rhume"
"maux de tête, toux légère, gorge irritée, éternuements","Rhume"
"maux de ventre, fatigue, diarrhée","Gastro-entérite"
"frissons, nez qui coule, toux, courbatures, fatigue","Grippe"
"amygdales gonflées, gorge rouge, fièvre, ganglions enflés, difficulté à avaler","Angine"
"courbatures, maux de tête, fatigue","Grippe"
"transpiration abondante, nausée, maux de tête","Paludisme"
"fatigue, fièvre, nez qui coule","Grippe"
"gorge rouge, fièvre élevée, difficulté à avaler","Angine"
"fatigue, maux d’estomac, fièvre légère","Gastro-entérite"
"fièvre élevée, transpiration abondante, frissons","Paludisme"
"nausée, vomissements, diarrhée","Gastro-entérite"
"transpiration abondante, douleurs abdominales, nausées, maux de tête","Paludisme"
"toux, fatigue, nez bouché, maux de tête, nez qui coule","Grippe"
"frissons, maux de gorge, toux sèche, nez qui coule","Grippe"
"fatigue légère, gorge irritée, éternuements, nez qui coule","Rhume"
"maux de ventre, maux d’estomac, fatigue, perte d’appétit","Gastro-entérite"
"perte d’odorat, maux de tête, fatigue, difficultés respiratoires","Covid-19"
"perte d’odorat, difficultés respiratoires, fièvre modérée, toux sèche, fièvre","Covid-19"
"nausée, fièvre élevée, douleurs musculaires, nausées, douleurs abdominales","Paludisme"
"nausée, perte d’appétit, maux d’estomac, crampes abdominales","Gastro-entérite"
"frissons, nez bouché, toux","Grippe"
"douleurs abdominales, fatigue, frissons","Paludisme"
"douleur à la déglutition, difficulté à avaler, ganglions enflés, amygdales gonflées","Angine"
"perte du goût, fatigue, toux sèche","Covid-19"
"nez bouché, frissons, courbatures, fatigue, nez qui coule","Grippe"
"perte d’odorat, difficultés respiratoires, maux de tête, fatigue, toux sèche","Covid-19"
"fièvre élevée, amygdales gonflées, fièvre, douleur à la déglutition, ganglions enflés","Angine"
"courbatures, toux, fatigue, nez qui coule","Grippe"
"nez qui coule, toux sèche, courbatures","Grippe"
"fièvre modérée, difficultés respiratoires, douleurs musculaires","Covid-19"
"courbatures, toux, maux de tête","Grippe"
"fièvre, courbatures, nez bouché, nez qui coule","Grippe"
"perte d’appétit, crampes abdominales, maux de ventre, nausée","Gastro-entérite"
"amygdales gonflées, fièvre élevée, ganglions enflés, gorge très douloureuse, douleur à la déglutition","Angine"
"fatigue, fièvre élevée, douleurs abdominales, maux de tête","Paludisme"
"gorge très douloureuse, douleur à la déglutition, ganglions enflés, difficulté à avaler","Angine"
"amygdales gonflées, douleur à la déglutition, gorge rouge","Angine"
"fièvre modérée, fièvre, douleurs musculaires, fatigue","Covid-19"
"maux de gorge, toux légère, éternuements","Rhume"
"maux de tête, nez qui coule, gorge irritée","Rhume"
"toux légère, nez bouché, fatigue légère, maux de tête","Rhume"
"douleurs abdominales, fatigue, maux de tête","Paludisme"
"ganglions enflés, gorge rouge, gorge très douloureuse","Angine"
"maux de tête, fatigue, douleurs musculaires","Paludisme"
"fièvre élevée, nausée, transpiration abondante, douleurs musculaires, maux de tête","Paludisme"
"éternuements, nez bouché, toux légère, maux de tête","Rhume"
"fièvre, gorge très douloureuse, amygdales gonflées","Angine"
"maux de tête, fatigue, nez bouché","Grippe"
"gorge rouge, fièvre élevée, amygdales gonflées","Angine"
"douleur à la déglutition, amygdales gonflées, difficulté à avaler, gorge très douloureuse, gorge rouge","Angine"
"courbatures, nez bouché, toux","Grippe"
"fièvre, fièvre élevée, ganglions enflés, gorge très douloureuse","Angine"
"toux sèche, courbatures, maux de tête","Grippe"
"fatigue légère, éternuements, toux légère","Rhume"
"ganglions enflés, difficulté à avaler, gorge très douloureuse, fièvre élevée","Angine"
"fatigue légère, gorge irritée, maux de gorge, nez bouché","Rhume"
"toux sèche, fièvre, difficultés respiratoires","Covid-19"
"nez qui coule, courbatures, nez bouché","Grippe"
"perte d’appétit, diarrhée, nausée, fatigue","Gastro-entérite"
"toux sèche, perte d’odorat, douleurs musculaires","Covid-19"
"toux, maux de tête, courbatures, nez bouché","Grippe"
"douleurs musculaires, perte d’odorat, difficultés respiratoires, fièvre, perte du goût","Covid-19"
"fatigue, toux, nez bouché, maux de tête","Grippe"
"fièvre élevée, ganglions enflés, douleur à la déglutition, gorge rouge, amygdales gonflées","Angine"
"fièvre modérée, difficultés respiratoires, douleurs musculaires, fièvre, perte d’odorat","Covid-19"
"vomissements, diarrhée, fatigue, fièvre légère, nausée","Gastro-entérite"
"toux, maux de gorge, fièvre","Grippe"
"toux sèche, perte du goût, fatigue","Covid-19"
"maux de gorge, toux, fatigue, nez bouché","Grippe"
"maux d’estomac, fièvre légère, maux de ventre, crampes abdominales","Gastro-entérite"
"fièvre élevée, douleurs abdominales, nausée, nausées, douleurs musculaires","Paludisme"
"nausée, perte d’appétit, fatigue, diarrhée","Gastro-entérite"
"douleur à la déglutition, fièvre élevée, gorge très douloureuse","Angine"
"fièvre, douleur à la déglutition, gorge très douloureuse","Angine"
"maux de gorge, toux sèche, toux, nez bouché","Grippe"
"fatigue, toux sèche, perte d’odorat","Covid-19"
"douleur à la déglutition, fièvre élevée, difficulté à avaler, fièvre, gorge rouge","Angine"
"frissons, fatigue, toux, maux de tête, toux sèche","Grippe"
"perte d’appétit, vomissements, maux d’estomac","Gastro-entérite"
"gorge rouge, fièvre élevée, douleur à la déglutition, difficulté à avaler, amygdales gonflées","Angine"
"nez bouché, maux de tête, maux de gorge","Grippe"
"vomissements, maux d’estomac, fatigue, nausée, fièvre légère","Gastro-entérite"
"toux, nez bouché, maux de tête","Grippe"
"nausée, fièvre élevée, nausées, transpiration abondante, fatigue","Paludisme"
"maux de tête, douleurs abdominales, fatigue, frissons","Paludisme"
"fatigue, nausées, nausée","Paludisme"
"gorge très douloureuse, fièvre élevée, difficulté à avaler, gorge rouge, ganglions enflés","Angine"
"vomissements, fièvre légère, diarrhée","Gastro-entérite"
"éternuements, gorge irritée, fatigue légère, toux légère","Rhume"
"courbatures, nez qui coule, maux de tête, nez bouché","Grippe"
"ganglions enflés, fièvre, amygdales gonflées","Angine"
"nez bouché, nez qui coule, toux légère, éternuements","Rhume"
"maux d’estomac, perte d’appétit, vomissements, fatigue, maux de ventre","Gastro-entérite"
"douleurs musculaires, maux de tête, toux sèche, perte du goût","Covid-19"
"maux de tête, transpiration abondante, fatigue, nausée, fièvre élevée","Paludisme"
"maux de tête, nez bouché, fatigue","Grippe"
"toux sèche, nez bouché, maux de tête, fièvre, frissons","Grippe"
"toux légère, éternuements, maux de gorge, fatigue légère, nez bouché","Rhume"
"difficulté à avaler, ganglions enflés, amygdales gonflées, gorge très douloureuse, douleur à la déglutition","Angine"
"maux de tête, fatigue, nausées","Paludisme"
"maux de tête, courbatures, toux sèche","Grippe"
"amygdales gonflées, fièvre élevée, gorge rouge","Angine"
"fièvre élevée, nausée, maux de tête","Paludisme"
"nausée, fièvre légère, diarrhée, fatigue, crampes abdominales","Gastro-entérite"
"nez bouché, maux de gorge, fatigue légère, nez qui coule","Rhume"
"maux de tête, fièvre élevée, frissons, nausées, douleurs abdominales","Paludisme"
"frissons, douleurs musculaires, douleurs abdominales, maux de tête, fièvre élevée","Paludisme"
"frissons, maux de tête, fatigue","Paludisme"
"amygdales gonflées, gorge très douloureuse, ganglions enflés","Angine"
"nez qui coule, toux sèche, fatigue, maux de tête, frissons","Grippe"
"toux légère, nez qui coule, nez bouché, gorge irritée, maux de tête","Rhume"
"toux, frissons, maux de gorge, fatigue","Grippe"
"maux d’estomac, fièvre légère, fatigue, nausée, vomissements","Gastro-entérite"
"fatigue, fièvre, toux, maux de gorge","Grippe"
"perte du goût, fatigue, fièvre, perte d’odorat","Covid-19"
"nausées, fatigue, fièvre élevée, maux de tête, frissons","Paludisme"
"frissons, douleurs musculaires, nausée, fatigue","Paludisme"
"douleurs musculaires, fatigue, nausées, frissons, nausée","Paludisme"
"fièvre modérée, douleurs musculaires, perte du goût","Covid-19"
"éternuements, maux de gorge, toux légère, nez bouché","Rhume"
"maux de gorge, nez qui coule, fatigue légère, gorge irritée","Rhume"
"maux de tête, toux sèche, perte d’odorat, perte du goût, douleurs musculaires","Covid-19"
"nausée, douleurs abdominales, fatigue, frissons, transpiration abondante","Paludisme"
"douleur à la déglutition, difficulté à avaler, gorge rouge, fièvre élevée","Angine"
"amygdales gonflées, ganglions enflés, fièvre, douleur à la déglutition, gorge rouge","Angine"
"diarrhée, vomissements, perte d’appétit, nausée, fièvre légère","Gastro-entérite"
"nez bouché, toux, toux sèche","Grippe"
"gorge rouge, fièvre élevée, douleur à la déglutition","Angine"
"maux de tête, toux sèche, douleurs musculaires, fatigue","Covid-19"
"fièvre légère, vomissements, diarrhée, maux de ventre","Gastro-entérite"
"éternuements, fatigue légère, gorge irritée, maux de tête","Rhume"
"douleur à la déglutition, fièvre, amygdales gonflées, fièvre élevée","Angine"
"nausée, perte d’appétit, vomissements","Gastro-entérite"
"fièvre élevée, maux de tête, fatigue, frissons, transpiration abondante","Paludisme"
"toux, courbatures, fatigue, nez qui coule, maux de tête","Grippe"
"nez qui coule, maux de gorge, maux de tête","Grippe"
"nez qui coule, toux légère, maux de gorge, maux de tête, fatigue légère","Rhume"
"fièvre élevée, fatigue, frissons, nausées","Paludisme"
"courbatures, toux, nez qui coule, toux sèche, maux de gorge","Grippe"
"maux de gorge, toux légère, nez qui coule, fatigue légère, maux de tête","Rhume"
"difficulté à avaler, fièvre, gorge très douloureuse, douleur à la déglutition","Angine"
"perte du goût, maux de tête, fatigue","Covid-19"
"douleur à la déglutition, gorge très douloureuse, difficulté à avaler, fièvre, ganglions enflés","Angine"
"éternuements, nez qui coule, fatigue légère, gorge irritée","Rhume"
"fièvre, maux de tête, fièvre modérée","Covid-19"
"frissons, nausée, fatigue","Paludisme"
"gorge irritée, maux de gorge, toux légère, maux de tête, éternuements","Rhume"
"maux de gorge, nez bouché, toux légère, fatigue légère, nez qui coule","Rhume"
"fatigue, nausée, maux de tête","Paludisme"
"nausée, fatigue, fièvre élevée, douleurs abdominales","Paludisme"
"éternuements, maux de tête, nez qui coule, toux légère, fatigue légère","Rhume"
"transpiration abondante, nausées, fièvre élevée","Paludisme"
"courbatures, maux de tête, nez qui coule","Grippe"
"fatigue, perte d’appétit, diarrhée, maux d’estomac, vomissements","Gastro-entérite"
"perte d’odorat, perte du goût, maux de tête, fatigue, toux sèche","Covid-19"
"frissons, douleurs musculaires, nausée, douleurs abdominales","Paludisme"
"fatigue, transpiration abondante, frissons, douleurs abdominales, nausées","Paludisme"
"fièvre, fatigue, douleurs musculaires","Covid-19"
"maux de gorge, frissons, nez bouché, courbatures","Grippe"
"frissons, fatigue, douleurs musculaires, transpiration abondante","Paludisme"
"gorge rouge, fièvre, douleur à la déglutition, gorge très douloureuse, fièvre élevée","Angine"
"nez bouché, toux légère, nez qui coule, maux de gorge","Rhume"
"difficulté à avaler, amygdales gonflées, ganglions enflés, gorge très douloureuse","Angine"
"amygdales gonflées, difficulté à avaler, gorge rouge, fièvre élevée, gorge très douloureuse","Angine"
"toux, fatigue, frissons, maux de tête, fièvre","Grippe"
"diarrhée, vomissements, perte d’appétit, fièvre légère","Gastro-entérite"
"fièvre modérée, toux sèche, fièvre, fatigue","Covid-19"
"fièvre légère, fatigue, perte d’appétit, maux d’estomac, vomissements","Gastro-entérite"
"fièvre modérée, toux sèche, douleurs musculaires, perte d’odorat, maux de tête","Covid-19"
"courbatures, nez qui coule, fièvre","Grippe"
"douleur à la déglutition, ganglions enflés, fièvre, gorge très douloureuse","Angine"
"perte d’appétit, crampes abdominales, fièvre légère, vomissements, nausée","Gastro-entérite"
"crampes abdominales, maux de ventre, diarrhée","Gastro-entérite"
"frissons, fièvre, toux sèche, nez qui coule","Grippe"
"fatigue, fièvre, difficultés respiratoires","Covid-19"
"gorge irritée, éternuements, maux de gorge, nez qui coule, toux légère","Rhume"
"toux, maux de gorge, fièvre, nez bouché","Grippe"
"toux sèche, nez bouché, frissons, toux, courbatures","Grippe"
"amygdales gonflées, gorge très douloureuse, fièvre élevée, difficulté à avaler, douleur à la déglutition","Angine"
"fatigue, transpiration abondante, douleurs abdominales","Paludisme"
"transpiration abondante, douleurs abdominales, nausée","Paludisme"
"fatigue légère, éternuements, maux de tête, toux légère","Rhume"
"perte d’odorat, difficultés respiratoires, fièvre modérée","Covid-19"
"fièvre, toux, nez qui coule, fatigue","Grippe"
"fièvre légère, nausée, fatigue","Gastro-entérite"
"nez bouché, fatigue légère, nez qui coule, maux de gorge, gorge irritée","Rhume"
"frissons, douleurs abdominales, douleurs musculaires, fatigue","Paludisme"
"maux de tête, fièvre, nez qui coule, toux","Grippe"
"douleurs musculaires, perte du goût, fatigue, toux sèche","Covid-19"
"douleurs abdominales, nausées, maux de tête, nausée, fatigue","Paludisme"
"diarrhée, crampes abdominales, fatigue, nausée","Gastro-entérite"
"toux sèche, fièvre, maux de gorge","Grippe"
"toux légère, maux de gorge, fatigue légère","Rhume"
"douleurs musculaires, nausée, transpiration abondante, fièvre élevée","Paludisme"
